timestamp,indoor_temp,rh,co2_ppm,power_kw
2026-09-01 00:00:00,21.2,55.4,450,1.2
2026-09-01 02:00:00,20.8,56.1,430,1.1
2026-09-01 04:00:00,20.5,57.0,420,1.1
2026-09-01 06:00:00,21.0,55.8,480,1.8
2026-09-01 08:00:00,22.4,52.3,750,4.5
2026-09-01 10:00:00,24.1,49.0,920,5.8
2026-09-01 12:00:00,25.6,46.5,1080,6.2
2026-09-01 14:00:00,26.3,44.8,1150,6.5
2026-09-01 16:00:00,25.8,45.2,1020,5.9
2026-09-01 18:00:00,24.5,48.0,830,4.1
2026-09-01 20:00:00,23.1,51.2,620,2.8
2026-09-01 22:00:00,22.0,53.8,510,1.5
2026-09-02 00:00:00,21.4,55.0,460,1.2
